Capacity,Voltage
0.006868131868131844, 4.399305555555556
0.02472527472527472, 4.364583333333334
0.043956043956043966, 4.322916666666667
0.06593406593406592, 4.291666666666667
0.08516483516483517, 4.250000000000001
0.11401098901098897, 4.215277777777779
0.14835164835164835, 4.166666666666667
0.16758241758241757, 4.135416666666667
0.18956043956043958, 4.111111111111112
0.22115384615384617, 4.059027777777779
0.24587912087912087, 4.034722222222223
0.30082417582417587, 3.9618055555555562
0.3255494505494505, 3.944444444444445
0.3489010989010989, 3.916666666666667
0.3804945054945056, 3.895833333333334
0.4052197802197802, 3.8715277777777786
0.4326923076923077, 3.850694444444445
0.4642857142857143, 3.819444444444445
0.5013736263736264, 3.802083333333334
0.5425824175824175, 3.7777777777777786
0.5961538461538461, 3.7500000000000004
0.6524725274725275, 3.7291666666666674
0.7005494505494505, 3.7048611111111116
0.7445054945054945, 3.6875000000000004
0.7843406593406593, 3.6701388888888893
0.8296703296703296, 3.645833333333334
0.8695054945054945, 3.625000000000001
0.9052197802197803, 3.5937500000000004
0.9326923076923077, 3.541666666666667
0.9464285714285714, 3.4652777777777786
0.9505494505494505, 3.3888888888888893
0.956043956043956, 3.2812500000000004
0.9574175824175823, 3.2048611111111116
0.9656593406593406, 3.1076388888888893
0.9697802197802197, 3.031250000000001
